hub_id,alignment_id,alignment_label,axis_id,axis_label,support_state,source_coverage_state,missingness_state,conflict_state,uncertainty_max_level,observed_slice_ids_json,missingness_slice_ids_json,conflict_slice_ids_json,uncertainty_slice_ids_json
hub:gria1,alignment:gria1,GRIA1,mechanistic_axis:clinical-translation,Clinical translation,observed,single_source,none,none,medium,"[""alignment:gria1|opentargets|opentargets.datatype.clinical|observed|2""]",[],[],"[""alignment:gria1|opentargets|opentargets.datatype.clinical|uncertainty|2""]"
hub:gria1,alignment:gria1,GRIA1,mechanistic_axis:disease-association,Disease association,partial_observed,single_source,source_absent,none,high,"[""alignment:gria1|opentargets|opentargets.datatype.genetic-association|observed|2"", ""alignment:gria1|opentargets|opentargets.generic_platform_baseline|observed|2""]","[""alignment:gria1|pgc|pgc.common_variant_support|missingness|absent""]",[],"[""alignment:gria1|opentargets|opentargets.datatype.genetic-association|uncertainty|2"", ""alignment:gria1|opentargets|opentargets.generic_platform_baseline|uncertainty|2"", ""alignment:gria1|pgc|pgc.common_variant_support|uncertainty|absent""]"
hub:gria1,alignment:gria1,GRIA1,mechanistic_axis:variant-to-gene,Variant-to-gene prioritization,unobserved,none,source_absent,none,high,[],"[""alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.sig-adultfusion|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.smr-priority-gene|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.smrpsych|missingness|absent"", ""alignment:gria1|pgc|pgc.prioritised|missingness|absent"", ""alignment:gria1|pgc|pgc.priority_index_snp_count|missingness|absent"", ""alignment:gria1|pgc|pgc.priority_index_snps|missingness|absent""]",[],"[""alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.sig-adultfusion|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.smr-priority-gene|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.smrpsych|uncertainty|absent"", ""alignment:gria1|pgc|pgc.prioritised|uncertainty|absent"", ""alignment:gria1|pgc|pgc.priority_index_snp_count|uncertainty|absent"", ""alignment:gria1|pgc|pgc.priority_index_snps|uncertainty|absent""]"
hub:grin2a,alignment:grin2a,GRIN2A,mechanistic_axis:clinical-translation,Clinical translation,observed,single_source,none,none,low,"[""alignment:grin2a|opentargets|opentargets.datatype.clinical|observed|1""]",[],[],"[""alignment:grin2a|opentargets|opentargets.datatype.clinical|uncertainty|1""]"
hub:grin2a,alignment:grin2a,GRIN2A,mechanistic_axis:disease-association,Disease association,observed,cross_source,none,none,low,"[""alignment:grin2a|opentargets|opentargets.datatype.genetic-association|observed|1"", ""alignment:grin2a|opentargets|opentargets.generic_platform_baseline|observed|1"", ""alignment:grin2a|pgc|pgc.common_variant_support|observed|1""]",[],[],"[""alignment:grin2a|opentargets|opentargets.datatype.genetic-association|uncertainty|1"", ""alignment:grin2a|opentargets|opentargets.generic_platform_baseline|uncertainty|1"", ""alignment:grin2a|pgc|pgc.common_variant_support|uncertainty|1""]"
hub:grin2a,alignment:grin2a,GRIN2A,mechanistic_axis:variant-to-gene,Variant-to-gene prioritization,observed,single_source,none,none,low,"[""alignment:grin2a|pgc|pgc.criterion.finemap-priority-gene|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.sig-adultfusion|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.smr-priority-gene|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.smrpsych|observed|1"", ""alignment:grin2a|pgc|pgc.prioritised|observed|1"", ""alignment:grin2a|pgc|pgc.priority_index_snp_count|observed|1"", ""alignment:grin2a|pgc|pgc.priority_index_snps|observed|1""]",[],[],"[""alignment:grin2a|pgc|pgc.criterion.finemap-priority-gene|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.sig-adultfusion|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.smr-priority-gene|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.smrpsych|uncertainty|1"", ""alignment:grin2a|pgc|pgc.prioritised|uncertainty|1"", ""alignment:grin2a|pgc|pgc.priority_index_snp_count|uncertainty|1"", ""alignment:grin2a|pgc|pgc.priority_index_snps|uncertainty|1""]"
hub:grm3,alignment:grm3,GRM3,mechanistic_axis:clinical-translation,Clinical translation,observed,single_source,none,none,low,"[""alignment:grm3|opentargets|opentargets.datatype.clinical|observed|3""]",[],[],"[""alignment:grm3|opentargets|opentargets.datatype.clinical|uncertainty|3""]"
hub:grm3,alignment:grm3,GRM3,mechanistic_axis:disease-association,Disease association,observed,cross_source,none,none,low,"[""alignment:grm3|opentargets|opentargets.datatype.genetic-association|observed|3"", ""alignment:grm3|opentargets|opentargets.generic_platform_baseline|observed|3"", ""alignment:grm3|pgc|pgc.common_variant_support|observed|2""]",[],[],"[""alignment:grm3|opentargets|opentargets.datatype.genetic-association|uncertainty|3"", ""alignment:grm3|opentargets|opentargets.generic_platform_baseline|uncertainty|3"", ""alignment:grm3|pgc|pgc.common_variant_support|uncertainty|2""]"
hub:grm3,alignment:grm3,GRM3,mechanistic_axis:variant-to-gene,Variant-to-gene prioritization,observed,single_source,none,none,low,"[""alignment:grm3|pgc|pgc.criterion.finemap-priority-gene|observed|2"", ""alignment:grm3|pgc|pgc.criterion.sig-adultfusion|observed|2"", ""alignment:grm3|pgc|pgc.criterion.smr-priority-gene|observed|2"", ""alignment:grm3|pgc|pgc.criterion.smrpsych|observed|2"", ""alignment:grm3|pgc|pgc.prioritised|observed|2"", ""alignment:grm3|pgc|pgc.priority_index_snp_count|observed|2"", ""alignment:grm3|pgc|pgc.priority_index_snps|observed|2""]",[],[],"[""alignment:grm3|pgc|pgc.criterion.finemap-priority-gene|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.sig-adultfusion|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.smr-priority-gene|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.smrpsych|uncertainty|2"", ""alignment:grm3|pgc|pgc.prioritised|uncertainty|2"", ""alignment:grm3|pgc|pgc.priority_index_snp_count|uncertainty|2"", ""alignment:grm3|pgc|pgc.priority_index_snps|uncertainty|2""]"
hub:grm5,alignment:grm5,GRM5,mechanistic_axis:clinical-translation,Clinical translation,observed,single_source,none,none,medium,"[""alignment:grm5|opentargets|opentargets.datatype.clinical|observed|4""]",[],[],"[""alignment:grm5|opentargets|opentargets.datatype.clinical|uncertainty|4""]"
hub:grm5,alignment:grm5,GRM5,mechanistic_axis:disease-association,Disease association,partial_observed,single_source,mixed,none,high,"[""alignment:grm5|opentargets|opentargets.generic_platform_baseline|observed|4""]","[""alignment:grm5|opentargets|opentargets.datatype.genetic-association|missingness|4"", ""alignment:grm5|pgc|pgc.common_variant_support|missingness|absent""]",[],"[""alignment:grm5|opentargets|opentargets.datatype.genetic-association|uncertainty|blank-4"", ""alignment:grm5|opentargets|opentargets.generic_platform_baseline|uncertainty|4"", ""alignment:grm5|pgc|pgc.common_variant_support|uncertainty|absent""]"
