cell_type,perturbagen,probe,probe_type,gene_symbol,entrez_id,median_rzs,direction
SZ_iPSC_NPC,niclosamide,220951_s_at,INF,A1CF,29974,2.2222525236455799,UP
SZ_iPSC_NPC,BMS-250904,217757_at,INF,A2M,2,2.1129019944079701,UP
SZ_iPSC_NPC,suloctidil,217757_at,INF,A2M,2,-3.6710240154377001,DOWN
SZ_iPSC_NPC,Vorinostat,219488_at,INF,A4GALT,53947,2.6529996615592202,UP
SZ_iPSC_NPC,budesonide,219488_at,INF,A4GALT,53947,2.2806133160000401,UP
SZ_iPSC_NPC,emetine,219488_at,INF,A4GALT,53947,-3.2914654477116398,DOWN
SZ_iPSC_NPC,suloctidil,219488_at,INF,A4GALT,53947,3.3489624446499802,UP
SZ_iPSC_NPC,Vorinostat,221131_at,INF,A4GNT,51146,-2.1455207921817601,DOWN
SZ_iPSC_NPC,suloctidil,221131_at,INF,A4GNT,51146,2.0748325715538298,UP
SZ_iPSC_NPC,celastrol,218075_at,INF,AAAS,8086,-5.6162987452115001,DOWN
SZ_iPSC_NPC,hydroquinine,218075_at,INF,AAAS,8086,-3.5804397760572302,DOWN
SZ_iPSC_NPC,methylbenzethonium chloride,218075_at,INF,AAAS,8086,-2.43271378506808,DOWN
SZ_iPSC_NPC,suloctidil,218075_at,INF,AAAS,8086,3.2565953207912401,UP
SZ_iPSC_NPC,celastrol,205969_at,INF,AADAC,13,3.1817402228094198,UP
SZ_iPSC_NPC,anisomycin,202851_at,INF,AAGAB,79719,3.4655052787674201,UP
SZ_iPSC_NPC,emetine,202851_at,INF,AAGAB,79719,4.0489225356263603,UP
SZ_iPSC_NPC,fendiline,202851_at,INF,AAGAB,79719,2.1038695831776,UP
SZ_iPSC_NPC,lycorine,202851_at,INF,AAGAB,79719,2.4538020745781801,UP
SZ_iPSC_NPC,suloctidil,202851_at,INF,AAGAB,79719,3.61068452920696,UP
SZ_iPSC_NPC,Nimodipine,214998_at,INF,AAK1,22848,3.19691456079914,UP
SZ_iPSC_NPC,Vorinostat,214998_at,INF,AAK1,22848,-2.2766472916303901,DOWN
SZ_iPSC_NPC,methylbenzethonium chloride,214998_at,INF,AAK1,22848,2.61788459725557,UP
SZ_iPSC_NPC,niclosamide,214998_at,INF,AAK1,22848,2.0761955803457299,UP
SZ_iPSC_NPC,Vorinostat,221599_at,INF,AAMDC,28971,9.0797457359164309,UP
SZ_iPSC_NPC,celastrol,221599_at,INF,AAMDC,28971,-2.2944227158299801,DOWN
SZ_iPSC_NPC,emetine,221599_at,INF,AAMDC,28971,3.5861046456886201,UP
SZ_iPSC_NPC,lycorine,221599_at,INF,AAMDC,28971,2.3890836263613,UP
SZ_iPSC_NPC,methylbenzethonium chloride,221599_at,INF,AAMDC,28971,-2.0335839348018099,DOWN
SZ_iPSC_NPC,niclosamide,221599_at,INF,AAMDC,28971,-2.3602269230511701,DOWN
SZ_iPSC_NPC,suloctidil,221599_at,INF,AAMDC,28971,3.5929116699821102,UP
SZ_iPSC_NPC,BMS-250904,201511_at,INF,AAMP,14,2.5404575749559699,UP
SZ_iPSC_NPC,Vorinostat,201511_at,INF,AAMP,14,2.05323119420814,UP
SZ_iPSC_NPC,suloctidil,201511_at,INF,AAMP,14,5.0897882494032096,UP
SZ_iPSC_NPC,BMS-250904,218089_at,INF,AAR2,25980,3.3190584193452399,UP
SZ_iPSC_NPC,emetine,218089_at,INF,AAR2,25980,2.67706105966279,UP
SZ_iPSC_NPC,lycorine,218089_at,INF,AAR2,25980,2.5066780730890001,UP
SZ_iPSC_NPC,suloctidil,218089_at,INF,AAR2,25980,3.5957883114321301,UP
SZ_iPSC_NPC,Vorinostat,201000_at,LM,AARS,16,-2.30591953023167,DOWN
SZ_iPSC_NPC,anisomycin,201000_at,LM,AARS,16,-4.2506541269122096,DOWN
SZ_iPSC_NPC,celastrol,201000_at,LM,AARS,16,3.9760386422024601,UP
SZ_iPSC_NPC,emetine,201000_at,LM,AARS,16,-5.2041112269440504,DOWN
SZ_iPSC_NPC,lycorine,201000_at,LM,AARS,16,-2.6057528013876698,DOWN
SZ_iPSC_NPC,methylbenzethonium chloride,201000_at,LM,AARS,16,7.3709550571684703,UP
SZ_iPSC_NPC,suloctidil,201000_at,LM,AARS,16,-2.34923352293479,DOWN
SZ_iPSC_NPC,Vorinostat,202170_s_at,INF,AASDHPPT,60496,-2.3763227153147599,DOWN
SZ_iPSC_NPC,anisomycin,202170_s_at,INF,AASDHPPT,60496,3.2193655626540298,UP
SZ_iPSC_NPC,cephaeline,202170_s_at,INF,AASDHPPT,60496,2.1906961342732298,UP
SZ_iPSC_NPC,emetine,202170_s_at,INF,AASDHPPT,60496,6.0257099549781996,UP
SZ_iPSC_NPC,lycorine,202170_s_at,INF,AASDHPPT,60496,3.5040566323196498,UP
SZ_iPSC_NPC,suloctidil,202170_s_at,INF,AASDHPPT,60496,-2.5671374710412098,DOWN
SZ_iPSC_NPC,emetine,210852_s_at,INF,AASS,10157,3.8091365823795398,UP
SZ_iPSC_NPC,suloctidil,210852_s_at,INF,AASS,10157,-3.39506694591228,DOWN
SZ_iPSC_NPC,anisomycin,209165_at,INF,AATF,26574,2.0862864457942401,UP
SZ_iPSC_NPC,cephaeline,209165_at,INF,AATF,26574,2.2236318529047199,UP
SZ_iPSC_NPC,emetine,209165_at,INF,AATF,26574,4.2253459317140702,UP
SZ_iPSC_NPC,lycorine,209165_at,INF,AATF,26574,3.0164600867212301,UP
SZ_iPSC_NPC,suloctidil,209165_at,INF,AATF,26574,-3.5072966865552502,DOWN
SZ_iPSC_NPC,PERCEPTIN,205986_at,INF,AATK,9625,2.2500071621037701,UP
SZ_iPSC_NPC,anisomycin,205986_at,INF,AATK,9625,-2.7932865187531899,DOWN
SZ_iPSC_NPC,emetine,205986_at,INF,AATK,9625,-2.5805696925392101,DOWN
SZ_iPSC_NPC,suloctidil,205986_at,INF,AATK,9625,5.7760744790095204,UP
SZ_iPSC_NPC,emetine,209460_at,INF,ABAT,18,2.2418344575622302,UP
SZ_iPSC_NPC,anisomycin,203505_at,INF,ABCA1,19,2.47480348058397,UP
SZ_iPSC_NPC,celastrol,203505_at,INF,ABCA1,19,2.73406452168541,UP
SZ_iPSC_NPC,emetine,203505_at,INF,ABCA1,19,5.9126412190375301,UP
SZ_iPSC_NPC,lycorine,203505_at,INF,ABCA1,19,2.53139738481772,UP
SZ_iPSC_NPC,suloctidil,203505_at,INF,ABCA1,19,-2.58604117214256,DOWN
SZ_iPSC_NPC,BMS-250904,220159_at,INF,ABCA11P,79963,-2.3029073935382298,DOWN
SZ_iPSC_NPC,Vorinostat,220159_at,INF,ABCA11P,79963,-2.1469093566099202,DOWN
