program_id,sponsor,molecule,target,target_class,mechanism,modality,population,domain,mono_or_adjunct,phase,event_type,date,primary_outcome_result,failure_reason_taxonomy,source_tier,source_url,confidence,notes
perphenazine-trilafon-schizophrenia-approval-us-1957,TRILAFON,perphenazine,DRD2,dopamine D2 antagonism,dopamine D2 receptor antagonist phenothiazine antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1957-02-27,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22TRILAFON%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for TRILAFON.
chlorpromazine-thorazine-schizophrenia-approval-us-1957,THORAZINE,chlorpromazine,DRD2 / HTR2A / multi-receptor,dopamine D2 antagonism,dopamine D2 antagonist first-generation antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1957-09-18,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22THORAZINE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for THORAZINE.
trifluoperazine-stelazine-schizophrenia-approval-us-1959,STELAZINE,trifluoperazine,DRD2,dopamine D2 antagonism,dopamine D2 receptor antagonist phenothiazine antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1959-04-16,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22STELAZINE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for STELAZINE.
fluphenazine-prolixin-schizophrenia-approval-us-1959,PROLIXIN,fluphenazine,DRD2,dopamine D2 antagonism,dopamine D2 receptor antagonist phenothiazine antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1959-12-23,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22PROLIXIN%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for PROLIXIN.
thioridazine-mellaril-schizophrenia-approval-us-1962,MELLARIL,thioridazine,DRD2 / HTR2A / multi-receptor,dopamine D2 antagonism,multireceptor phenothiazine antipsychotic with dopamine D2 antagonism,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1962-03-15,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22MELLARIL%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for MELLARIL.
haloperidol-haldol-schizophrenia-approval-us-1967,HALDOL,haloperidol,DRD2,dopamine D2 antagonism,potent dopamine D2 receptor antagonist antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1967-04-12,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22HALDOL%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for HALDOL.
thiothixene-navane-schizophrenia-approval-us-1967,NAVANE,thiothixene,DRD2,dopamine D2 antagonism,dopamine D2 receptor antagonist thioxanthene antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1967-07-24,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22NAVANE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for NAVANE.
molindone-moban-schizophrenia-approval-us-1974,MOBAN,molindone,DRD2,dopamine D2 antagonism,dopamine D2 receptor antagonist dihydroindolone antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1974-01-18,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22MOBAN%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for MOBAN.
loxapine-loxitane-schizophrenia-approval-us-1975,LOXITANE,loxapine,DRD2 / HTR2A,serotonin-dopamine antagonism,serotonin-dopamine antagonist antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1975-02-25,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22LOXITANE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for LOXITANE.
clozapine-clozaril-trs-approval-us-1989,Sandoz,clozapine,DRD2 / HTR2A / multi-receptor,multireceptor atypical antipsychotic,multi-receptor antagonist atypical antipsychotic,small_molecule,severely ill adults with schizophrenia after inadequate response to standard antipsychotics,treatment_resistant_schizophrenia,monotherapy,approved,regulatory_approval,1989-09-26,approved_for_treatment_resistant_schizophrenia,not_applicable_nonfailure,regulatory,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/203479Orig1s000MedR.pdf,high,TRS anchor; later curation should treat clozapine exposure as a key boundary for narrower resistant-population labels.
risperidone-risperdal-schizophrenia-approval-us-1993,RISPERDAL,risperidone,DRD2 / HTR2A,serotonin-dopamine antagonism,serotonin-dopamine antagonist atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1993-12-29,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22RISPERDAL%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for RISPERDAL.
olanzapine-zyprexa-schizophrenia-approval-us-1996,ZYPREXA,olanzapine,DRD2 / HTR2A / multi-receptor,multireceptor atypical antipsychotic,multireceptor atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1996-09-30,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22OLANZAPINE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for ZYPREXA.
quetiapine-seroquel-schizophrenia-approval-us-1997,SEROQUEL,quetiapine,DRD2 / HTR2A,serotonin-dopamine antagonism,serotonin-dopamine antagonist atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,1997-09-26,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22QUETIAPINE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for SEROQUEL.
ziprasidone-geodon-schizophrenia-approval-us-2001,GEODON,ziprasidone,DRD2 / HTR2A,serotonin-dopamine antagonism,serotonin-dopamine antagonist atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2001-02-05,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22GEODON%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for GEODON.
aripiprazole-abilify-schizophrenia-approval-us-2002,ABILIFY,aripiprazole,DRD2 / DRD3 / HTR1A,dopamine-serotonin partial agonism,dopamine-serotonin partial agonist antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2002-11-15,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22ARIPIPRAZOLE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for ABILIFY.
