slice_id,alignment_id,alignment_label,alignment_status,source_name,dataset_name,feature_id,feature_group,channel,context_member_ids_json,value_type,numeric_value,text_value,json_value,provenance_bundle_id,source_row_index,source_entity_id,source_entity_label
alignment:gria1|opentargets|opentargets.datatype.clinical|observed|2,alignment:gria1,GRIA1,id_consistent,opentargets,glutamatergic_baseline,opentargets.datatype.clinical,datatype_score,observed,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:clinical"", ""alignment_status:id-consistent""]",number,0.18021371940088668,,,opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1
alignment:gria1|opentargets|opentargets.datatype.clinical|uncertainty|2,alignment:gria1,GRIA1,id_consistent,opentargets,glutamatergic_baseline,opentargets.datatype.clinical,datatype_score,uncertainty,"[""channel:uncertainty"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:clinical"", ""alignment_status:id-consistent"", ""uncertainty_level:medium""]",number,0.5,medium,"{""reason"": ""single_source_alignment"", ""related_channel"": ""observed""}",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1
alignment:gria1|opentargets|opentargets.datatype.genetic-association|observed|2,alignment:gria1,GRIA1,id_consistent,opentargets,glutamatergic_baseline,opentargets.datatype.genetic-association,datatype_score,observed,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:genetic-association"", ""alignment_status:id-consistent""]",number,0.6556909542615412,,,opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1
alignment:gria1|opentargets|opentargets.datatype.genetic-association|uncertainty|2,alignment:gria1,GRIA1,id_consistent,opentargets,glutamatergic_baseline,opentargets.datatype.genetic-association,datatype_score,uncertainty,"[""channel:uncertainty"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:genetic-association"", ""alignment_status:id-consistent"", ""uncertainty_level:medium""]",number,0.5,medium,"{""reason"": ""single_source_alignment"", ""related_channel"": ""observed""}",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1
alignment:gria1|opentargets|opentargets.generic_platform_baseline|observed|2,alignment:gria1,GRIA1,id_consistent,opentargets,glutamatergic_baseline,opentargets.generic_platform_baseline,association_score,observed,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""alignment_status:id-consistent""]",number,0.438360252724,,,opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1
alignment:gria1|opentargets|opentargets.generic_platform_baseline|uncertainty|2,alignment:gria1,GRIA1,id_consistent,opentargets,glutamatergic_baseline,opentargets.generic_platform_baseline,association_score,uncertainty,"[""channel:uncertainty"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""alignment_status:id-consistent"", ""uncertainty_level:medium""]",number,0.5,medium,"{""reason"": ""single_source_alignment"", ""related_channel"": ""observed""}",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1
alignment:gria1|pgc|pgc.common_variant_support|missingness|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.common_variant_support,association_score,missingness,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",string,,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.common_variant_support|uncertainty|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.common_variant_support,association_score,uncertainty,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",number,0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|missingness|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.criterion.finemap-priority-gene,prioritization_criterion,missingness,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:finemap-priority-gene"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",string,,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|uncertainty|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.criterion.finemap-priority-gene,prioritization_criterion,uncertainty,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:finemap-priority-gene"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",number,0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.criterion.sig-adultfusion|missingness|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.criterion.sig-adultfusion,prioritization_criterion,missingness,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:sig-adultfusion"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",string,,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.criterion.sig-adultfusion|uncertainty|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.criterion.sig-adultfusion,prioritization_criterion,uncertainty,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:sig-adultfusion"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",number,0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.criterion.smr-priority-gene|missingness|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.criterion.smr-priority-gene,prioritization_criterion,missingness,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smr-priority-gene"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",string,,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}",pgc:glutamatergic-prioritized-genes,,,
alignment:gria1|pgc|pgc.criterion.smr-priority-gene|uncertainty|absent,alignment:gria1,GRIA1,id_consistent,pgc,glutamatergic_prioritized_genes,pgc.criterion.smr-priority-gene,prioritization_criterion,uncertainty,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smr-priority-gene"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",number,0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}",pgc:glutamatergic-prioritized-genes,,,
