gene_id,gene_symbol,split_name,rescue_positive_label,label_status,evidence_source_id,evidence_note
ENSG00000000003,TSPAN6,test,0,unlabeled_background,,
ENSG00000000419,DPM1,train,0,unlabeled_background,,
ENSG00000000457,SCYL3,train,0,unlabeled_background,,
ENSG00000000460,C1orf112,test,0,unlabeled_background,,
ENSG00000000971,CFH,train,0,unlabeled_background,,
ENSG00000001036,FUCA2,train,0,unlabeled_background,,
ENSG00000001084,GCLC,train,0,unlabeled_background,,
ENSG00000001167,NFYA,train,0,unlabeled_background,,
ENSG00000001460,STPG1,train,0,unlabeled_background,,
ENSG00000001461,NIPAL3,train,0,unlabeled_background,,
ENSG00000001497,LAS1L,train,0,unlabeled_background,,
ENSG00000001561,ENPP4,train,0,unlabeled_background,,
ENSG00000001617,SEMA3F,test,0,unlabeled_background,,
ENSG00000001629,ANKIB1,train,0,unlabeled_background,,
ENSG00000001630,CYP51A1,test,0,unlabeled_background,,
ENSG00000001631,KRIT1,train,0,unlabeled_background,,
ENSG00000002016,RAD52,train,0,unlabeled_background,,
ENSG00000002079,MYH16,train,0,unlabeled_background,,
ENSG00000002330,BAD,train,0,unlabeled_background,,
ENSG00000002549,LAP3,train,0,unlabeled_background,,
ENSG00000002586,CD99,train,0,unlabeled_background,,
ENSG00000002587,HS3ST1,train,0,unlabeled_background,,
ENSG00000002746,HECW1,validation,0,unlabeled_background,,
ENSG00000002822,MAD1L1,train,0,unlabeled_background,,
ENSG00000002834,LASP1,train,0,unlabeled_background,,
ENSG00000002919,SNX11,test,0,unlabeled_background,,
ENSG00000003056,M6PR,train,0,unlabeled_background,,
ENSG00000003096,KLHL13,train,0,unlabeled_background,,
ENSG00000003137,CYP26B1,train,0,unlabeled_background,,
ENSG00000003147,ICA1,test,0,unlabeled_background,,
ENSG00000003249,DBNDD1,train,0,unlabeled_background,,
ENSG00000003393,ALS2,train,0,unlabeled_background,,
ENSG00000003402,CFLAR,train,0,unlabeled_background,,
ENSG00000003436,TFPI,train,0,unlabeled_background,,
ENSG00000003509,NDUFAF7,train,0,unlabeled_background,,
ENSG00000003756,RBM5,test,0,unlabeled_background,,
ENSG00000003987,MTMR7,train,0,unlabeled_background,,
ENSG00000003989,SLC7A2,train,0,unlabeled_background,,
ENSG00000004059,ARF5,train,0,unlabeled_background,,
ENSG00000004139,SARM1,validation,0,unlabeled_background,,
ENSG00000004142,POLDIP2,train,0,unlabeled_background,,
ENSG00000004399,PLXND1,train,0,unlabeled_background,,
ENSG00000004455,AK2,train,0,unlabeled_background,,
ENSG00000004468,CD38,train,0,unlabeled_background,,
ENSG00000004478,FKBP4,train,0,unlabeled_background,,
ENSG00000004487,KDM1A,train,0,unlabeled_background,,
ENSG00000004534,RBM6,train,0,unlabeled_background,,
ENSG00000004660,CAMKK1,train,0,unlabeled_background,,
ENSG00000004700,RECQL,validation,0,unlabeled_background,,
ENSG00000004766,CCDC132,train,0,unlabeled_background,,
